CustomerID,Lookalikes
C0001,"[('C0048', 0.994759272089767), ('C0190', 0.989566283885934), ('C0181', 0.9690570960486317)]"
C0002,"[('C0088', 0.9815316714422238), ('C0092', 0.9678952873866002), ('C0106', 0.9345142149954087)]"
C0003,"[('C0052', 0.9721772149959806), ('C0076', 0.9683019537395736), ('C0031', 0.9648147866913213)]"
C0004,"[('C0165', 0.9742274717866528), ('C0087', 0.9640662608068735), ('C0155', 0.9473936033700333)]"
C0005,"[('C0186', 0.9986651076717602), ('C0007', 0.9928849701778006), ('C0140', 0.987193667516835)]"
C0006,"[('C0168', 0.9795743447554784), ('C0187', 0.9676128542575875), ('C0011', 0.9632064482545006)]"
C0007,"[('C0115', 0.993101648367763), ('C0005', 0.9928849701778006), ('C0186', 0.986205912474108)]"
C0008,"[('C0065', 0.903800007031257), ('C0059', 0.8971340064647123), ('C0160', 0.7468549424663793)]"
C0009,"[('C0198', 0.9929774413377519), ('C0061', 0.976842930797573), ('C0062', 0.971873357007503)]"
C0010,"[('C0062', 0.9688197195239987), ('C0111', 0.9627057979250698), ('C0103', 0.9413417790370943)]"
C0011,"[('C0137', 0.9804292604389566), ('C0174', 0.9699427765667424), ('C0191', 0.9663382531262144)]"
C0012,"[('C0163', 0.9853761623990386), ('C0113', 0.9809282833789084), ('C0104', 0.9763495539035484)]"
C0013,"[('C0099', 0.9846542684235278), ('C0108', 0.9780110009091504), ('C0107', 0.8168863222410023)]"
C0014,"[('C0060', 0.9996124608295499), ('C0089', 0.9406532262931077), ('C0166', 0.8449991554725874)]"
C0015,"[('C0131', 0.9795423849015269), ('C0036', 0.9727326843401238), ('C0094', 0.9320563177096114)]"
C0016,"[('C0183', 0.9935933608765334), ('C0067', 0.9613597846183376), ('C0030', 0.9540578255511215)]"
C0017,"[('C0075', 0.9641561297920852), ('C0041', 0.9562342273286575), ('C0057', 0.9186851631334769)]"
C0018,"[('C0122', 0.9347371880491606), ('C0046', 0.9344015607850338), ('C0117', 0.8863301313658842)]"
C0019,"[('C0081', 0.923212254137602), ('C0135', 0.8911963079043185), ('C0070', 0.8904475470437258)]"
C0020,"[('C0050', 0.9158797521130791), ('C0035', 0.8754488143071382), ('C0157', 0.8357421071558968)]"
